model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,attention_energy_j,ffn_energy_j,total_energy_j,total_flops,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J
qwen3-moe,0,prefill,server,8,1024,15.14093,10.09821,25.23914,3.878463,3.743574,7.622037000000001,3924300000000.0,155484.69559580873,514.8623655329933
qwen3-moe,0,prefill,server,8,4096,164.897,41.16698,206.06398,38.46086,14.04951,52.510369999999995,19060162000000.0,92496.33050861194,362.9790077655138
qwen3-moe,0,decode,edge,1,128,1.19184,2.367363,3.559203,0.02040565,0.03945667,0.05986232,449107000.0,126.1819008356646,7.50233201787034
qwen3-moe,0,decode,edge,1,256,1.259936,2.367363,3.627299,0.02178263,0.03945667,0.061239299999999997,453383200.0,124.99195682517488,7.403468034415808
qwen3-moe,0,decode,edge,1,512,1.396152,2.367363,3.763515,0.02454463,0.03945667,0.0640013,461936700.0,122.74076229269711,7.217614329708928
qwen3-moe,0,decode,edge,1,1024,1.668576,2.367363,4.035939,0.03009121,0.03945667,0.06954788,479042100.0,118.69408829023432,6.887946836050214
qwen3-moe,0,decode,edge,1,4096,3.335592,2.367363,5.702955,0.06312842,0.03945667,0.10258509,581670000.0,101.99449232897682,5.6701222370619355
qwen3-moe,0,decode,server,8,128,0.210397,2.362313,2.57271,0.0301641,0.3127638,0.34292789999999995,3592856000.0,1396.5258423996486,10.477001142222608
qwen3-moe,0,decode,server,8,256,0.277885,2.362313,2.640198,0.04010348,0.3127638,0.35286728,3627066000.0,1373.7856024434532,10.278839114808264
qwen3-moe,0,decode,server,8,512,0.413309,2.362313,2.775622,0.05998222,0.3127638,0.37274602,3695486000.0,1331.4082393063609,9.914219875506651
qwen3-moe,0,decode,server,8,1024,0.684157,2.362313,3.04647,0.09977106,0.3127638,0.41253485999999995,3832325000.0,1257.955929321477,9.289699784401252
qwen3-moe,0,decode,server,8,4096,2.309317,2.362313,4.67163,0.3399834,0.3127638,0.6527472,4653372000.0,996.091728154841,7.1289038083962675
