model,block,action,config,batch,length,arch,total_latency_cycles,total_energy_uJ,total_flops,throughput_GFLOPS,energy_eff_GFLOPS_per_J
qwen3-moe,0,prefill,server,8,512,gemmini_ws,21502336.0,6526622.4,1892089000000.0,87994.57882157547,289.9032430618324
qwen3-moe,0,prefill,server,8,512,lego,37993376.0,9541306.4,1892089000000.0,49800.49680238997,198.30502456141645
qwen3-moe,0,prefill,server,8,512,ours,10655538.0,3683221.0,1892089000000.0,177568.60329342357,513.7049881068771
qwen3-moe,0,prefill,server,8,1024,gemmini_os,34567522.0,13226217.3,3924300000000.0,113525.63831448491,296.70614893042773
qwen3-moe,0,prefill,server,8,1024,gemmini_ws,48020480.0,13649431.3,3924300000000.0,81721.38221025695,287.50648387819643
qwen3-moe,0,prefill,server,8,1024,lego,73715136.0,19393604.3,3924300000000.0,53236.013835747384,202.350215013926
qwen3-moe,0,prefill,server,8,1024,ours,25239140.0,7622037.000000001,3924300000000.0,155484.69559580873,514.8623655329933
qwen3-moe,0,prefill,server,8,4096,gemmini_os,398051648.0,83458563.31,19060162000000.0,47883.64046667633,228.37874562017788
qwen3-moe,0,prefill,server,8,4096,gemmini_ws,455873280.0,85486143.31,19060162000000.0,41810.219717198604,222.9620060280621
qwen3-moe,0,prefill,server,8,4096,lego,584702978.0,110419413.31,19060162000000.0,32598.02449646494,172.61604122536883
qwen3-moe,0,prefill,server,8,4096,ours,206063980.0,52510369.99999999,19060162000000.0,92496.33050861194,362.9790077655138
