hardware,model,block,action,config,batch,length,attention_latency_ms,ffn_latency_ms,total_latency_ms,attention_energy_j,ffn_energy_j,total_energy_j,total_flops,throughput_GFLOPS,energy_efficiency_GFLOPS_per_J,attention_latency_scale,ffn_latency_scale,attention_energy_scale,ffn_energy_scale
Orin-scaled ours,llama3-8b,0,prefill,orin,1,128,0.93184,3.063808,3.995648,0.03320765,0.1215674,0.15477505,56121560000.0,14045.67169079959,362.60081970576005,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,llama3-8b,0,prefill,orin,1,256,1.960156587796884,6.127616,8.087772587796884,0.06212681020983891,0.20155079564038128,0.2636776058502202,112790470000.0,13945.801365654399,427.7590037891563,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,llama3-8b,0,prefill,orin,1,512,4.230577865577156,12.25523474294145,16.485812608518607,0.13237385443736235,0.3727044694638892,0.5050783239012515,227770400000.0,13816.146368320702,450.96055249548124,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,llama3-8b,0,prefill,orin,1,1024,9.617869384456517,24.5104694858829,34.12833887033942,0.3248869373152749,0.7328108650748824,1.0576978023901573,464298400000.0,13604.482824785735,438.97075227989586,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,llama3-8b,0,prefill,orin,1,4096,65.63286238944013,99.55187818456747,165.1847405740076,2.9525736666191977,2.974794767296337,5.927368433915534,2067378400000.0,12515.553148650277,348.7852025817669,0.3268531405737889,0.2742941451898379,0.8855777156771683,0.8713746898120738
Orin-scaled ours,llama3-8b,0,decode,orin,1,128,0.697024,2.775328,3.472352,0.01184122,0.04665037,0.058491589999999996,438449710.0,126.26879705744118,7.495944459707799,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,llama3-8b,0,decode,orin,1,256,0.7326030997475328,2.775328,3.507931099747533,0.012555722070897451,0.04665037,0.05920609207089745,440587820.0,125.59762648465623,7.441596034955487,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,llama3-8b,0,decode,orin,1,512,0.8037612992425982,2.775328,3.5790892992425984,0.013984726212692353,0.04665037,0.06063509621269235,444864050.0,124.29532006763326,7.3367418836036995,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,llama3-8b,0,decode,orin,1,1024,0.946077698232729,2.775328,3.7214056982327293,0.016842734496282156,0.04665037,0.06349310449628215,453416500.0,121.8401154744629,7.141192789313837,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
Orin-scaled ours,llama3-8b,0,decode,orin,1,4096,1.8655190650447557,2.775328,4.640847065044756,0.034765178924864026,0.04665037,0.08141554892486402,504731200.0,108.75842123772557,6.199444782541494,0.9998622905669039,1.0,0.9952252599800134,0.99152123230765
