Arch,Config,Model,Layer,Phase,OpName,OpType,Cycles,Energy(uJ),Computes,Utilization(%),DRAM_Acc,SRAM_Acc,MLIR_Desc,MLIR_Elems,YAML_N,YAML_C,YAML_M,YAML_R,YAML_S,YAML_P,YAML_Q,YAML_G
gemmini,edge,qwen3_8b,attn_prefill_5,prefill,batch_matmul_5,attn,268435456,1859950.91,137438953472,12.5,1325400064,17465081856,batch_matmul_5: Output projection,137438953472,8,4096,4096,1,1,1024,1,1
gemmini,edge,qwen3_8b,ffn_decode_0,decode,batch_matmul_0,ffn,196608,15867.28,402653184,50.0,56590336,163643392,batch_matmul_0: Gate projection,402653184,8,4096,12288,1,1,1,1,1
gemmini,edge,qwen3_8b,ffn_decode_1,decode,batch_matmul_1,ffn,196608,15867.28,402653184,50.0,56590336,163643392,batch_matmul_1: Up projection,402653184,8,4096,12288,1,1,1,1,1
gemmini,edge,qwen3_8b,ffn_decode_2,decode,batch_matmul_2,ffn,131072,14503.72,402653184,75.0,58785792,107053056,batch_matmul_2: Down projection,402653184,8,12288,4096,1,1,1,1,1
gemmini,edge,qwen3_8b,ffn_prefill_0,prefill,batch_matmul_0,ffn,3221225472,9770428.4,412316860416,3.12,1744830464,206594637824,batch_matmul_0: Gate projection,412316860416,8,4096,12288,1,1,1024,1,1
gemmini,edge,qwen3_8b,ffn_prefill_1,prefill,batch_matmul_1,ffn,3221225472,9770428.4,412316860416,3.12,1744830464,206594637824,batch_matmul_1: Up projection,412316860416,8,4096,12288,1,1,1024,1,1
gemmini,edge,qwen3_8b,ffn_prefill_2,prefill,batch_matmul_2,ffn,805306368,5749856.82,412316860416,12.5,2566914048,64877494272,batch_matmul_2: Down projection,412316860416,8,12288,4096,1,1,1024,1,1
lego,edge,gemma_7b,attn_decode_0,decode,batch_matmul_0,attn,24576,3253.63,100663296,100.0,12705792,26763264,batch_matmul_0: Q projection,100663296,8,3072,4096,1,1,1,1,1
lego,edge,gemma_7b,attn_decode_1,decode,batch_matmul_1,attn,24576,3253.63,100663296,100.0,12705792,26763264,batch_matmul_1: K projection,100663296,8,3072,4096,1,1,1,1,1
lego,edge,gemma_7b,attn_decode_2,decode,batch_matmul_2,attn,24576,3253.63,100663296,100.0,12705792,26763264,batch_matmul_2: V projection,100663296,8,3072,4096,1,1,1,1,1
lego,edge,gemma_7b,attn_decode_3,decode,batch_matmul_3,attn,8192,268.76,33554432,100.0,425984,1343488,batch_matmul_3: QK^T,33554432,128,256,1024,1,1,1,1,1
lego,edge,gemma_7b,attn_decode_4,decode,batch_matmul_4,attn,8192,307.31,33554432,100.0,622592,1966080,batch_matmul_4: Score×V,33554432,128,1024,256,1,1,1,1,1
lego,edge,gemma_7b,attn_decode_5,decode,batch_matmul_5,attn,24576,3738.9,100663296,100.0,13443072,40108032,batch_matmul_5: Output projection,100663296,8,4096,3072,1,1,1,1,1
lego,edge,gemma_7b,attn_prefill_0,prefill,batch_matmul_0,attn,402653184,4013183.7,103079215104,6.25,822083584,103330873344,batch_matmul_0: Q projection (hidden=3072→4096),103079215104,8,3072,4096,1,1,1024,1,1
lego,edge,gemma_7b,attn_prefill_1,prefill,batch_matmul_1,attn,402653184,4013183.7,103079215104,6.25,822083584,103330873344,batch_matmul_1: K projection,103079215104,8,3072,4096,1,1,1024,1,1
lego,edge,gemma_7b,attn_prefill_2,prefill,batch_matmul_2,attn,402653184,4013183.7,103079215104,6.25,822083584,103330873344,batch_matmul_2: V projection,103079215104,8,3072,4096,1,1,1024,1,1
lego,edge,gemma_7b,attn_prefill_3,prefill,batch_matmul_3,attn,8388608,446019.5,34359738368,100.0,176160768,4605345792,"batch_matmul_3: QK^T (head_dim=256, num_heads=16)",34359738368,128,256,1024,1,1,1024,1,1
lego,edge,gemma_7b,attn_prefill_4,prefill,batch_matmul_4,attn,33554432,638312.61,34359738368,25.0,436207616,9865003008,batch_matmul_4: Score×V,34359738368,128,1024,256,1,1,1024,1,1
lego,edge,gemma_7b,attn_prefill_5,prefill,batch_matmul_5,attn,25165824,1214752.72,103079215104,100.0,423624704,9709813760,batch_matmul_5: Output projection (4096→3072),103079215104,8,4096,3072,1,1,1024,1,1
lego,edge,gemma_7b,ffn_decode_0,decode,batch_matmul_0,ffn,147456,22830.72,603979776,100.0,80216064,245563392,batch_matmul_0: Gate projection,603979776,8,3072,24576,1,1,1,1,1
lego,edge,gemma_7b,ffn_decode_1,decode,batch_matmul_1,ffn,147456,22830.72,603979776,100.0,80216064,245563392,batch_matmul_1: Up projection,603979776,8,3072,24576,1,1,1,1,1
lego,edge,gemma_7b,ffn_decode_2,decode,batch_matmul_2,ffn,147456,21050.56,603979776,100.0,78028800,266600448,batch_matmul_2: Down projection,603979776,8,24576,3072,1,1,1,1,1
lego,edge,gemma_7b,ffn_prefill_0,prefill,batch_matmul_0,ffn,201326592,9592049.48,618475290624,75.0,9563013120,104387837952,batch_matmul_0: Gate projection,618475290624,8,3072,24576,1,1,1024,1,1
lego,edge,gemma_7b,ffn_prefill_1,prefill,batch_matmul_1,ffn,201326592,9592049.48,618475290624,75.0,9563013120,104387837952,batch_matmul_1: Up projection,618475290624,8,3072,24576,1,1,1024,1,1
lego,edge,gemma_7b,ffn_prefill_2,prefill,batch_matmul_2,ffn,536870912,7046080.49,618475290624,28.12,3674210304,45575307264,batch_matmul_2: Down projection,618475290624,8,24576,3072,1,1,1024,1,1
lego,edge,llama3_8b,attn_decode_0,decode,batch_matmul_0,attn,32768,4812.69,134217728,100.0,16842752,52461568,batch_matmul_0: Q projection,134217728,8,4096,4096,1,1,1,1,1
lego,edge,llama3_8b,attn_decode_1,decode,batch_matmul_1,attn,8192,1237.63,33554432,100.0,4317184,13697024,batch_matmul_1: K projection (GQA),33554432,8,4096,1024,1,1,1,1,1
lego,edge,llama3_8b,attn_decode_2,decode,batch_matmul_2,attn,8192,1237.63,33554432,100.0,4317184,13697024,batch_matmul_2: V projection (GQA),33554432,8,4096,1024,1,1,1,1,1
lego,edge,llama3_8b,attn_decode_3,decode,batch_matmul_3,attn,8192,459.73,33554432,100.0,950272,1736704,batch_matmul_3: QK^T attention score,33554432,256,128,1024,1,1,1,1,1
lego,edge,llama3_8b,attn_decode_4,decode,batch_matmul_4,attn,8192,375.11,33554432,100.0,884736,3014656,batch_matmul_4: Score×V,33554432,256,1024,128,1,1,1,1,1
lego,edge,llama3_8b,attn_decode_5,decode,batch_matmul_5,attn,32768,4812.69,134217728,100.0,16842752,52461568,batch_matmul_5: Output projection,134217728,8,4096,4096,1,1,1,1,1
lego,edge,llama3_8b,attn_prefill_0,prefill,batch_matmul_0,attn,33554432,1924222.5,137438953472,100.0,4345298944,4378853376,batch_matmul_0: Q/K/V projection (hidden→hidden),137438953472,8,4096,4096,1,1,1024,1,1
lego,edge,llama3_8b,attn_prefill_1,prefill,batch_matmul_1,attn,8388608,407591.38,34359738368,100.0,666894336,943718400,"batch_matmul_1: K projection (hidden→GQA head, 4096→1024)",34359738368,8,4096,1024,1,1,1024,1,1
lego,edge,llama3_8b,attn_prefill_2,prefill,batch_matmul_2,attn,8388608,407591.38,34359738368,100.0,666894336,943718400,"batch_matmul_2: V projection (hidden→GQA head, 4096→1024)",34359738368,8,4096,1024,1,1,1024,1,1
lego,edge,llama3_8b,attn_prefill_3,prefill,batch_matmul_3,attn,8388608,584220.46,34359738368,100.0,1912733696,838991872,"batch_matmul_3: QK^T attention score (head_dim=128, num_heads=32)",34359738368,256,128,1024,1,1,1024,1,1
lego,edge,llama3_8b,attn_prefill_4,prefill,batch_matmul_4,attn,8388608,992801.74,34359738368,100.0,1312817152,17586716672,batch_matmul_4: Score×V (1024→128),34359738368,256,1024,128,1,1,1024,1,1
lego,edge,llama3_8b,attn_prefill_5,prefill,batch_matmul_5,attn,33554432,1924222.5,137438953472,100.0,4345298944,4378853376,batch_matmul_5: Output projection (hidden→hidden),137438953472,8,4096,4096,1,1,1024,1,1
lego,edge,llama3_8b,ffn_decode_0,decode,batch_matmul_0,ffn,114688,15966.88,469762048,100.0,59097088,205553664,batch_matmul_0: Gate projection,469762048,8,4096,14336,1,1,1,1,1
lego,edge,llama3_8b,ffn_decode_1,decode,batch_matmul_1,ffn,114688,15966.88,469762048,100.0,59097088,205553664,batch_matmul_1: Up projection,469762048,8,4096,14336,1,1,1,1,1
lego,edge,llama3_8b,ffn_decode_2,decode,batch_matmul_2,ffn,131072,18381.76,469762048,87.5,75579392,124895232,batch_matmul_2: Down projection,469762048,8,14336,4096,1,1,1,1,1
lego,edge,llama3_8b,ffn_prefill_0,prefill,batch_matmul_0,ffn,234881024,5961052.52,481036337152,50.0,7591690240,31197233152,batch_matmul_0: Gate projection (up proj),481036337152,8,4096,14336,1,1,1024,1,1
